Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Renato,tvui,movieDetails,,,2022-01-07 23:44:40
Renato,tvui,profilesGate,,,2022-01-07 23:44:32
Renato,tvui,browseTitles,,,2022-01-07 23:44:32
Renato,tvui,profilesGate,,,2022-01-07 14:58:31
Renato,tvui,profilesGate,,,2022-01-07 10:23:21
Renato,tvui,browseTitles,,,2022-01-07 01:37:46
Renato,tvui,profilesGate,,,2022-01-07 01:37:46
Renato,tvui,playback,,,2022-01-07 01:07:45
Renato,tvui,browseTitles,,,2022-01-07 01:07:45
Renato,tvui,movieDetails,,,2022-01-07 00:06:40
Renato,tvui,playback,,,2022-01-07 00:06:40
Renato,tvui,movieDetails,,,2022-01-07 00:06:38
Renato,tvui,browseTitles,,,2022-01-07 00:06:38
Renato,tvui,profilesGate,,,2022-01-07 00:06:33
Renato,tvui,browseTitles,,,2022-01-07 00:06:33
Renato,tvui,profilesGate,,,2022-01-07 00:06:31
Renato,tvui,movieDetails,,,2022-01-06 20:40:45
Renato,tvui,profilesGate,,,2022-01-06 20:40:45
Renato,tvui,playback,,,2022-01-06 17:08:31
Renato,tvui,movieDetails,,,2022-01-06 17:08:31
Renato,tvui,movieDetails,,,2022-01-06 16:42:03
Renato,tvui,playback,,,2022-01-06 16:42:03
Renato,tvui,profilesGate,,,2022-01-06 16:42:00
Renato,tvui,movieDetails,,,2022-01-06 16:42:00
Renato,tvui,profilesGate,,,2022-01-06 16:41:56
Renato,tvui,movieDetails,,,2022-01-06 16:41:48
Renato,tvui,profilesGate,,,2022-01-06 16:41:48
Renato,tvui,playback,,,2022-01-06 15:53:00
Renato,tvui,movieDetails,,,2022-01-06 15:53:00
Renato,tvui,exitDialog,,,2022-01-06 15:52:59
Renato,tvui,playback,,,2022-01-06 15:52:59
Renato,tvui,playback,,,2022-01-06 15:52:56
Renato,tvui,exitDialog,,,2022-01-06 15:52:56
Renato,tvui,playback,,,2022-01-06 15:31:03
Renato,tvui,episodesSelector,,,2022-01-06 15:31:03
Renato,tvui,movieDetails,,,2022-01-06 15:30:58
Renato,tvui,episodesSelector,,,2022-01-06 15:30:58
Renato,tvui,movieDetails,,,2022-01-06 15:30:54
Renato,tvui,playback,,,2022-01-06 15:30:54
Renato,tvui,exitDialog,,,2022-01-06 15:30:47
Renato,tvui,playback,,,2022-01-06 15:30:47
Renato,tvui,playback,,,2022-01-06 15:30:42
Renato,tvui,exitDialog,,,2022-01-06 15:30:42
Renato,tvui,episodesSelector,,,2022-01-06 15:30:05
Renato,tvui,playback,,,2022-01-06 15:30:05
Renato,tvui,movieDetails,,,2022-01-06 15:29:48
Renato,tvui,episodesSelector,,,2022-01-06 15:29:48
Renato,tvui,movieDetails,,,2022-01-06 15:29:44
Renato,tvui,browseTitles,,,2022-01-06 15:29:44
Renato,tvui,profilesGate,,,2022-01-06 15:29:06
Renato,tvui,browseTitles,,,2022-01-06 15:29:05
Renato,android,browseTitles,,,2022-01-06 01:51:28
Renato,android,browseTitles,,,2022-01-05 23:42:12
Renato,android,browseTitles,,,2022-01-05 23:42:12
Renato,android,browseTitles,,,2022-01-05 23:42:12
Renato,android,accountMenu,,,2022-01-05 23:42:11
Renato,android,accountMenu,,,2022-01-05 23:42:11
Renato,android,accountMenu,,,2022-01-05 23:42:11
Renato,tvui,profilesGate,,,2022-01-05 21:39:13
Renato,tvui,movieDetails,,,2022-01-05 04:13:42
Renato,tvui,profilesGate,,,2022-01-05 04:13:42
Renato,tvui,movieDetails,,,2022-01-05 03:27:26
Renato,tvui,playback,,,2022-01-05 03:27:26
Renato,tvui,exitDialog,,,2022-01-05 03:27:19
Renato,tvui,playback,,,2022-01-05 03:27:19
Renato,tvui,playback,,,2022-01-05 03:27:16
Renato,tvui,exitDialog,,,2022-01-05 03:27:16
Renato,tvui,postPlay,,,2022-01-05 02:11:54
Renato,tvui,playback,,,2022-01-05 02:11:54
Renato,tvui,playback,,,2022-01-05 02:11:47
Renato,tvui,postPlay,,,2022-01-05 02:11:47
Renato,tvui,episodesSelector,,,2022-01-05 01:18:15
Renato,tvui,playback,,,2022-01-05 01:18:15
Renato,tvui,movieDetails,,,2022-01-05 01:17:45
Renato,tvui,episodesSelector,,,2022-01-05 01:17:45
Renato,tvui,browseTitles,,,2022-01-05 01:17:42
Renato,tvui,movieDetails,,,2022-01-05 01:17:42
Renato,tvui,browseTitles,,,2022-01-05 01:17:40
Renato,tvui,movieDetails,,,2022-01-05 01:17:40
Renato,tvui,movieDetails,,,2022-01-05 01:17:39
Renato,tvui,playback,,,2022-01-05 01:17:39
Renato,tvui,playback,,,2022-01-05 01:17:29
Renato,tvui,exitDialog,,,2022-01-05 01:17:29
Renato,tvui,playback,,,2022-01-05 01:17:25
Renato,tvui,exitDialog,,,2022-01-05 01:17:25
Renato,tvui,episodesSelector,,,2022-01-05 01:17:00
Renato,tvui,playback,,,2022-01-05 01:17:00
Renato,tvui,episodesSelector,,,2022-01-05 01:16:42
Renato,tvui,movieDetails,,,2022-01-05 01:16:42
Renato,tvui,movieDetails,,,2022-01-05 01:16:37
Renato,tvui,browseTitles,,,2022-01-05 01:16:35
Renato,tvui,profilesGate,,,2022-01-05 01:15:51
Renato,tvui,browseTitles,,,2022-01-05 01:15:51
Renato,android,accountMenu,,,2022-01-04 03:37:38
Renato,android,browseTitles,,,2022-01-04 03:37:37
Renato,android,browseTitles,,,2022-01-04 02:17:23
Renato,android,browseTitles,,,2022-01-03 02:30:01
Renato,tvui,profilesGate,,,2022-01-03 00:08:49
Renato,tvui,profilesGate,,,2022-01-03 00:08:46
Renato,tvui,profilesGate,,,2022-01-03 00:08:46
Renato,android,playback,,,2022-01-02 22:42:45
Renato,android,browseTitles,,,2022-01-02 22:42:45
Renato,android,playback,,,2022-01-02 22:42:34
Renato,android,browseTitles,,,2022-01-02 22:42:32
Renato,android,browseTitles,,,2022-01-02 22:42:20
Renato,android,browseTitles,,,2022-01-02 22:42:20
Renato,android,browseTitles,,,2022-01-02 22:42:20
Renato,android,accountMenu,,,2022-01-02 22:42:18
Renato,android,accountMenu,,,2022-01-02 22:42:17
Renato,android,accountMenu,,,2022-01-02 22:42:17
Renato,android,search,,,2022-01-02 03:06:11
Renato,android,search,,,2022-01-02 03:06:04
Renato,android,playback,,,2022-01-02 03:05:52
Renato,android,search,,,2022-01-02 03:05:52
Renato,android,playback,,,2022-01-02 03:05:47
Renato,android,search,,,2022-01-02 03:05:46
Renato,android,search,,,2022-01-02 03:05:45
Renato,android,search,,,2022-01-02 03:05:17
Renato,android,search,,,2022-01-02 03:05:13
Renato,android,search,,,2022-01-02 03:05:09
Renato,android,search,,,2022-01-02 03:05:07
Renato,android,profilesGate,,,2022-01-02 03:04:59
Renato,android,search,,,2022-01-02 03:04:59
Renato,android,profilesGate,,,2022-01-02 03:04:57
Renato,android,browseTitlesGallery,,,2022-01-02 03:04:57
Renato,android,movieDetails,,,2022-01-02 03:03:30
Renato,android,browseTitlesGallery,,,2022-01-02 03:03:30
Renato,android,movieDetails,,,2022-01-02 03:03:24
Renato,android,browseTitlesGallery,,,2022-01-02 03:03:24
Renato,android,browseTitlesGallery,,,2022-01-02 01:38:33
Renato,android,playback,,,2022-01-02 01:38:33
Renato,android,playback,,,2022-01-02 01:38:18
Renato,android,browseTitlesGallery,,,2022-01-02 01:38:17
Renato,android,search,,,2022-01-02 01:38:06
Renato,android,browseTitlesGallery,,,2022-01-02 01:38:06
Renato,android,browseTitlesGallery,,,2022-01-02 01:37:55
Renato,android,search,,,2022-01-02 01:37:55
Renato,android,newsFeed,,,2022-01-02 01:37:37
Renato,android,browseTitlesGallery,,,2022-01-02 01:37:37
Renato,android,newsFeed,,,2022-01-02 01:37:32
Renato,android,newsFeed,,,2022-01-02 01:37:32
Renato,android,newsFeed,,,2022-01-02 01:37:30
Renato,android,profilesGate,,,2022-01-02 01:37:29
Renato,tvui,screenSaver,,,2022-01-02 01:07:46
Renato,tvui,profilesGate,,,2022-01-02 01:07:46
Renato,tvui,movieDetails,,,2022-01-02 00:28:31
Renato,tvui,screenSaver,,,2022-01-02 00:28:31
Renato,tvui,playback,,,2022-01-02 00:23:32
Renato,tvui,movieDetails,,,2022-01-02 00:23:32
Renato,tvui,playback,,,2022-01-01 23:20:32
Renato,tvui,profilesGate,,,2022-01-01 23:20:32
Renato,tvui,profilesGate,,,2022-01-01 23:20:29
Renato,android,playback,,,2022-01-01 23:19:15
Renato,android,search,,,2022-01-01 23:19:15
Renato,android,search,,,2022-01-01 23:18:45
Renato,android,playback,,,2022-01-01 23:18:45
Renato,android,search,,,2022-01-01 23:18:39
Renato,android,newsFeed,,,2022-01-01 23:18:38
Renato,android,browseTitles,,,2022-01-01 23:18:37
Renato,android,newsFeed,,,2022-01-01 23:18:37
Renato,android,movieDetails,,,2022-01-01 23:18:33
Renato,android,browseTitles,,,2022-01-01 23:18:33
Renato,android,browseTitles,,,2022-01-01 23:18:24
Renato,android,movieDetails,,,2022-01-01 23:18:24
Renato,tvui,movieDetails,,,2022-01-01 12:11:38
Renato,tvui,profilesGate,,,2022-01-01 12:11:38
Renato,tvui,movieDetails,,,2022-01-01 06:46:24
Renato,tvui,playback,,,2022-01-01 06:46:24
Renato,tvui,postPlay,,,2022-01-01 06:17:43
Renato,tvui,playback,,,2022-01-01 06:17:43
Renato,tvui,playback,,,2022-01-01 06:17:37
Renato,tvui,postPlay,,,2022-01-01 06:17:37
Renato,tvui,postPlay,,,2022-01-01 05:35:40
Renato,tvui,playback,,,2022-01-01 05:35:40
Renato,tvui,playback,,,2022-01-01 05:35:35
Renato,tvui,postPlay,,,2022-01-01 05:35:35
Renato,tvui,playback,,,2022-01-01 04:55:13
Renato,tvui,postPlay,,,2022-01-01 04:55:13
Renato,tvui,playback,,,2022-01-01 04:55:07
Renato,tvui,postPlay,,,2022-01-01 04:55:07
Renato,tvui,playback,,,2022-01-01 04:07:21
Renato,tvui,postPlay,,,2022-01-01 04:07:21
Renato,tvui,playback,,,2022-01-01 04:07:16
Renato,tvui,postPlay,,,2022-01-01 04:07:16
Renato,tvui,playback,,,2022-01-01 03:49:17
Renato,tvui,movieDetails,,,2022-01-01 03:49:17
Renato,tvui,browseTitles,,,2022-01-01 03:49:11
Renato,tvui,movieDetails,,,2022-01-01 03:49:11
Renato,tvui,profilesGate,,,2022-01-01 03:48:58
Renato,tvui,browseTitles,,,2022-01-01 03:48:58
Renato,tvui,profilesGate,,,2022-01-01 03:48:55
Renato,tvui,profilesGate,,,2021-12-31 18:01:22
Renato,tvui,movieDetails,,,2021-12-31 08:19:08
Renato,tvui,profilesGate,,,2021-12-31 08:19:08
Renato,tvui,playback,,,2021-12-31 03:43:13
Renato,tvui,movieDetails,,,2021-12-31 03:43:13
Renato,tvui,playback,,,2021-12-31 03:21:43
Renato,tvui,postPlay,,,2021-12-31 03:21:43
Renato,tvui,playback,,,2021-12-31 03:21:38
Renato,tvui,postPlay,,,2021-12-31 03:21:38
Renato,tvui,movieDetails,,,2021-12-31 02:52:22
Renato,tvui,playback,,,2021-12-31 02:52:22
Renato,tvui,movieDetails,,,2021-12-31 02:52:20
Renato,tvui,browseTitles,,,2021-12-31 02:52:20
Renato,tvui,browseTitles,,,2021-12-31 02:52:16
Renato,tvui,movieDetails,,,2021-12-31 02:52:16
Renato,tvui,browseTitles,,,2021-12-31 02:52:04
Renato,tvui,movieDetails,,,2021-12-31 02:52:04
Renato,tvui,browseTitles,,,2021-12-31 02:45:36
Renato,tvui,profilesGate,,,2021-12-31 02:45:36
Renato,tvui,profilesGate,,,2021-12-31 02:45:29
Renato,tvui,profilesGate,,,2021-12-31 00:50:28
Renato,tvui,profilesGate,,,2021-12-30 08:17:25
Renato,tvui,movieDetails,,,2021-12-30 08:17:25
Renato,tvui,playback,,,2021-12-30 07:23:28
Renato,tvui,movieDetails,,,2021-12-30 07:23:28
Renato,tvui,postPlay,,,2021-12-30 07:11:11
Renato,tvui,playback,,,2021-12-30 07:11:11
Renato,tvui,playback,,,2021-12-30 07:11:05
Renato,tvui,postPlay,,,2021-12-30 07:11:05
Renato,tvui,playback,,,2021-12-30 06:29:12
Renato,tvui,postPlay,,,2021-12-30 06:29:12
Renato,tvui,playback,,,2021-12-30 06:29:07
Renato,tvui,postPlay,,,2021-12-30 06:29:07
Renato,tvui,playback,,,2021-12-30 05:46:01
Renato,tvui,postPlay,,,2021-12-30 05:46:01
Renato,tvui,playback,,,2021-12-30 05:45:55
Renato,tvui,postPlay,,,2021-12-30 05:45:55
Renato,tvui,postPlay,,,2021-12-30 05:03:22
Renato,tvui,playback,,,2021-12-30 05:03:22
Renato,tvui,playback,,,2021-12-30 05:03:16
Renato,tvui,postPlay,,,2021-12-30 05:03:16
Renato,tvui,postPlay,,,2021-12-30 04:21:44
Renato,tvui,playback,,,2021-12-30 04:21:44
Renato,tvui,playback,,,2021-12-30 04:21:37
Renato,tvui,postPlay,,,2021-12-30 04:21:37
Renato,tvui,playback,,,2021-12-30 03:41:52
Renato,tvui,postPlay,,,2021-12-30 03:41:52
Renato,tvui,playback,,,2021-12-30 03:41:46
Renato,tvui,postPlay,,,2021-12-30 03:41:46
Renato,tvui,postPlay,,,2021-12-30 02:59:38
Renato,tvui,playback,,,2021-12-30 02:59:38
Renato,tvui,playback,,,2021-12-30 02:59:32
Renato,tvui,postPlay,,,2021-12-30 02:59:32
Renato,tvui,postPlay,,,2021-12-30 02:18:45
Renato,tvui,playback,,,2021-12-30 02:18:45
Renato,tvui,playback,,,2021-12-30 02:18:39
Renato,tvui,postPlay,,,2021-12-30 02:18:39
Renato,tvui,postPlay,,,2021-12-30 01:36:38
Renato,tvui,playback,,,2021-12-30 01:36:38
Renato,tvui,playback,,,2021-12-30 01:36:33
Renato,tvui,postPlay,,,2021-12-30 01:36:33
Renato,tvui,playback,,,2021-12-30 00:56:49
Renato,tvui,postPlay,,,2021-12-30 00:56:49
Renato,tvui,playback,,,2021-12-30 00:56:43
Renato,tvui,postPlay,,,2021-12-30 00:56:43
Renato,tvui,movieDetails,,,2021-12-30 00:18:13
Renato,tvui,playback,,,2021-12-30 00:18:13
Renato,tvui,browseTitles,,,2021-12-30 00:18:09
Renato,tvui,movieDetails,,,2021-12-30 00:18:09
Renato,tvui,browseTitles,,,2021-12-30 00:17:08
Renato,tvui,profilesGate,,,2021-12-30 00:17:08
Renato,tvui,profilesGate,,,2021-12-30 00:16:22
Renato,tvui,profilesGate,,,2021-12-29 16:33:48
Renato,android,browseTitles,,,2021-12-28 02:08:51
Renato,android,browseTitles,,,2021-12-28 02:05:05
Renato,android,playback,,,2021-12-28 01:16:48
Renato,android,movieDetails,,,2021-12-28 01:16:48
Renato,android,movieDetails,,,2021-12-28 01:16:34
Renato,android,playback,,,2021-12-28 01:16:34
Renato,android,browseTitlesGallery,,,2021-12-28 01:16:13
Renato,android,movieDetails,,,2021-12-28 01:16:13
Renato,android,browseTitlesGallery,,,2021-12-28 01:15:34
Renato,android,movieDetails,,,2021-12-28 01:15:34
Renato,android,browseTitlesGallery,,,2021-12-28 01:15:13
Renato,android,movieDetails,,,2021-12-28 01:15:13
